"text","book","chapter"
"owl-free morning. He yelled at five different people. He made several important","Book 1: Philosopher's Stone","chap-1"
"telephone calls and shouted a bit more. He was in a very","Book 1: Philosopher's Stone","chap-1"
"good mood until lunchtime, when he thought he'd stretch his legs and","Book 1: Philosopher's Stone","chap-1"
"walk across the road to buy himself a bun from the bakery.","Book 1: Philosopher's Stone","chap-1"
" He'd forgotten all about the people in cloaks until he passed","Book 1: Philosopher's Stone","chap-1"
"a group of them next to the baker's. He eyed them angrily","Book 1: Philosopher's Stone","chap-1"
"as he passed. He didn't know why, but they made him uneasy.","Book 1: Philosopher's Stone","chap-1"
"This bunch were whispering excitedly, too, and he couldn't see a single","Book 1: Philosopher's Stone","chap-1"
"collecting tin. It was on his way back past them, clutching a","Book 1: Philosopher's Stone","chap-1"
"large doughnut in a bag, that he caught a few words of","Book 1: Philosopher's Stone","chap-1"
"what they were saying.   `The Potters, that's right, that's what","Book 1: Philosopher's Stone","chap-1"
"I heard yes, their son, Harry`  Mr. Dursley stopped dead. Fear","Book 1: Philosopher's Stone","chap-1"
"flooded him. He looked back at the whisperers as if he wanted","Book 1: Philosopher's Stone","chap-1"
"to say something to them, but thought better of it.  He","Book 1: Philosopher's Stone","chap-1"
"dashed back across the road, hurried up to his office, snapped at","Book 1: Philosopher's Stone","chap-1"
"his secretary not to disturb him, seized his telephone, and had almost","Book 1: Philosopher's Stone","chap-1"
"finished dialing his home number when he changed his mind. He put","Book 1: Philosopher's Stone","chap-1"
"the receiver back down and stroked his mustache, thinking... no, he was","Book 1: Philosopher's Stone","chap-1"
"being stupid. Potter wasn't such an unusual name. He was sure there","Book 1: Philosopher's Stone","chap-1"
"were lots of people called Potter who had a son called Harry.","Book 1: Philosopher's Stone","chap-1"
"Come to think of it, he wasn't even sure his nephew was","Book 1: Philosopher's Stone","chap-1"
"called Harry. He'd never even seen the boy. It might have been","Book 1: Philosopher's Stone","chap-1"
"Harvey. Or Harold. There was no point in worrying Mrs. Dursley; she","Book 1: Philosopher's Stone","chap-1"
"always got so upset at any mention of her sister. He didn't","Book 1: Philosopher's Stone","chap-1"
"blame her -- if he'd had a sister like that... but all","Book 1: Philosopher's Stone","chap-1"
"the same, those people in cloaks...  He found it a lot","Book 1: Philosopher's Stone","chap-1"
"harder to concentrate on drills that afternoon and when he left the","Book 1: Philosopher's Stone","chap-1"
"building at five o'clock, he was still so worried that he walked","Book 1: Philosopher's Stone","chap-1"
"straight into someone just outside the door.  `Sorry,` he grunted, as","Book 1: Philosopher's Stone","chap-1"
"the tiny old man stumbled and almost fell. It was a few","Book 1: Philosopher's Stone","chap-1"
"seconds before Mr. Dursley realized that the man was wearing a violet","Book 1: Philosopher's Stone","chap-1"
"cloak. He didn't seem at all upset at being almost knocked to","Book 1: Philosopher's Stone","chap-1"
"the ground. On the contrary, his face split into a wide smile","Book 1: Philosopher's Stone","chap-1"
"and he said in a squeaky voice that made passersby stare, `Don't","Book 1: Philosopher's Stone","chap-1"
"be sorry, my dear sir, for nothing could upset me today! Rejoice,","Book 1: Philosopher's Stone","chap-1"
"for You-Know-Who has gone at last! Even Muggles like yourself should be","Book 1: Philosopher's Stone","chap-1"
"celebrating, this happy, happy day!`  And the old man hugged Mr.","Book 1: Philosopher's Stone","chap-1"
"Dursley around the middle and walked off.  Mr. Dursley stood rooted","Book 1: Philosopher's Stone","chap-1"
"to the spot. He had been hugged by a complete stranger. He","Book 1: Philosopher's Stone","chap-1"
"also thought he had been called a Muggle, whatever that was. He","Book 1: Philosopher's Stone","chap-1"
"was rattled. He hurried to his car and set off for home,","Book 1: Philosopher's Stone","chap-1"
"hoping he was imagining things, which he had never hoped before, because","Book 1: Philosopher's Stone","chap-1"
"he didn't approve of imagination.  As he pulled into the driveway","Book 1: Philosopher's Stone","chap-1"
"of number four, the first thing he saw -- and it didn't","Book 1: Philosopher's Stone","chap-1"
"improve his mood -- was the tabby cat he'd spotted that morning.","Book 1: Philosopher's Stone","chap-1"
"It was now sitting on his garden wall. He was sure it","Book 1: Philosopher's Stone","chap-1"
"was the same one; it had the same markings around its eyes.","Book 1: Philosopher's Stone","chap-1"
" `Shoo!` said Mr. Dursley loudly. The cat didn't move. It just","Book 1: Philosopher's Stone","chap-1"
"gave him a stern look. Was this normal cat behavior? Mr. Dursley","Book 1: Philosopher's Stone","chap-1"
"wondered. Trying to pull himself together, he let himself into the house.","Book 1: Philosopher's Stone","chap-1"
"He was still determined not to mention anything to his wife. ","Book 1: Philosopher's Stone","chap-1"
"Mrs. Dursley had had a nice, normal day. She told him over","Book 1: Philosopher's Stone","chap-1"
"dinner all about Mrs. Next Door's problems with her daughter and how","Book 1: Philosopher's Stone","chap-1"
"Dudley had learned a new word (`Won't!`). Mr. Dursley tried to act","Book 1: Philosopher's Stone","chap-1"
"normally. When Dudley had been put to bed, he went into the","Book 1: Philosopher's Stone","chap-1"
"living room in time to catch the last report on the evening","Book 1: Philosopher's Stone","chap-1"
"news:  `And finally, bird-watchers everywhere have reported that the nation's owls","Book 1: Philosopher's Stone","chap-1"
"have been behaving very unusually today. Although owls normally hunt at night","Book 1: Philosopher's Stone","chap-1"
"and are hardly ever seen in daylight, there have been hundreds of","Book 1: Philosopher's Stone","chap-1"
"sightings of these birds flying in every direction since sunrise. Experts are","Book 1: Philosopher's Stone","chap-1"
"unable to explain why the owls have suddenly changed their sleeping pattern.`","Book 1: Philosopher's Stone","chap-1"
"The newscaster allowed himself a grin. `Most mysterious. And now, over to","Book 1: Philosopher's Stone","chap-1"
"Jim McGuffin with the weather. Going to be any more showers of","Book 1: Philosopher's Stone","chap-1"
"owls tonight, Jim?`  `Well, Ted,` said the weatherman, `I don't know","Book 1: Philosopher's Stone","chap-1"
"about that, but it's not only the owls that have been acting","Book 1: Philosopher's Stone","chap-1"
"oddly today. Viewers as far apart as Kent, Yorkshire, and Dundee have","Book 1: Philosopher's Stone","chap-1"
"been phoning in to tell me that instead of the rain I","Book 1: Philosopher's Stone","chap-1"
"promised yesterday, they've had a downpour of shooting stars! Perhaps people have","Book 1: Philosopher's Stone","chap-1"
"been celebrating Bonfire Night early -- it's not until next week, folks!","Book 1: Philosopher's Stone","chap-1"
"But I can promise a wet night tonight.`  Mr. Dursley sat","Book 1: Philosopher's Stone","chap-1"
"frozen in his armchair. Shooting stars all over Britain? Owls flying by","Book 1: Philosopher's Stone","chap-1"
"daylight? Mysterious people in cloaks all over the place? And a whisper,","Book 1: Philosopher's Stone","chap-1"
"a whisper about the Potters...  Mrs. Dursley came into the living","Book 1: Philosopher's Stone","chap-1"
"room carrying two cups of tea. It was no good. He'd have","Book 1: Philosopher's Stone","chap-1"
"to say something to her. He cleared his throat nervously. `Er --","Book 1: Philosopher's Stone","chap-1"
"Petunia, dear -- you haven't heard from your sister lately, have you?`","Book 1: Philosopher's Stone","chap-1"
